"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.pc.stable.","X263","X.mi.","X0.1"
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X.1.3.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"pc.stable",263,"mi",0.1
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"pc.stable",263,"mi",0.1
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"pc.stable",263,"mi",0.1
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"pc.stable",263,"mi",0.1
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"pc.stable",263,"mi",0.1
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..1.3..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..1.4..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..2.1..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..2.2..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..2.3..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
"X..2.4..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"pc.stable",263,"mi",0.1
