"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.tabu.","X631","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"tabu",631,"bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"tabu",631,"bde"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"tabu",631,"bde"
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"tabu",631,"bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"tabu",631,"bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"tabu",631,"bde"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"tabu",631,"bde"
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"tabu",631,"bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"tabu",631,"bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"tabu",631,"bde"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"tabu",631,"bde"
"X..1.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"tabu",631,"bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tabu",631,"bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tabu",631,"bde"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tabu",631,"bde"
"X..2.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tabu",631,"bde"
