"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.rsmax2.","X289","X.si.hiton.pc.","X.x2.","X0.05","X.hc.","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..1.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
"X..2.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",289,"si.hiton.pc","x2",0.05,"hc","bde"
