"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.h2pc.","X427","X.hpc.","X.mi.","X0.05","X.hc.","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..1.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
"X..2.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",427,"hpc","mi",0.05,"hc","bde"
