"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.gs.","X520","X.x2.","X0.01"
"X.1.1.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X.1.2.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"gs",520,"x2",0.01
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"gs",520,"x2",0.01
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"gs",520,"x2",0.01
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"gs",520,"x2",0.01
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"gs",520,"x2",0.01
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"gs",520,"x2",0.01
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"gs",520,"x2",0.01
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..1.3..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..2.1..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..2.2..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..2.3..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..3.1..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..3.2..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
"X..3.3..",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"gs",520,"x2",0.01
