"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.mmhc.","X900","X.mmpc.","X.x2.","X0.1","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
"X..3.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",900,"mmpc","x2",0.1,"hc","bic"
