"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.mmhc.","X627","X.mmpc.","X.mi.","X0.05","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",627,"mmpc","mi",0.05,"hc","bic"
