"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.inter.iamb.","X534","X.x2.","X0.1"
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"inter.iamb",534,"x2",0.1
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"inter.iamb",534,"x2",0.1
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"inter.iamb",534,"x2",0.1
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"inter.iamb",534,"x2",0.1
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"inter.iamb",534,"x2",0.1
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..2.1..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..2.2..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..3.1..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..3.2..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..4.1..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
"X..4.2..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"inter.iamb",534,"x2",0.1
