"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.rsmax2.","X938","X.mmpc.","X.mi.","X0.1","X.tabu.","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",938,"mmpc","mi",0.1,"tabu","bde"
