"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.mmhc.","X655","X.x2.","X0.01","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"mmhc",655,"x2",0.01,"bde"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"mmhc",655,"x2",0.01,"bde"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mmhc",655,"x2",0.01,"bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",655,"x2",0.01,"bde"
