,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,312.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
1,fast.iamb,mi,0.05,270.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
2,fast.iamb,mi,0.1,270.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
3,fast.iamb,x2,0.01,311.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
4,fast.iamb,x2,0.05,269.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
5,fast.iamb,x2,0.1,269.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
6,fci,G2,0.01,121.0,22.0,44.0,0.0390625,0.4957627118644068,0.0,0.9140625,-2055.796177815346,-2029.275003425859
7,fci,G2,0.05,125.0,22.0,44.0,0.0390625,0.4957627118644068,0.0,0.9140625,-2055.796177815346,-2029.275003425859
8,fci,G2,0.1,125.0,22.0,44.0,0.0390625,0.4957627118644068,0.0,0.9140625,-2055.796177815346,-2029.275003425859
9,iamb.fdr,mi,0.01,510.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
10,iamb.fdr,mi,0.05,510.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
11,iamb.fdr,mi,0.1,510.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
12,iamb.fdr,x2,0.01,510.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
13,iamb.fdr,x2,0.05,510.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
14,iamb.fdr,x2,0.1,510.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
15,gs,mi,0.01,365.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1164.801765264158,-1353.7620868594008
16,gs,mi,0.05,360.0,20.0,62.0,0.404296875,0.614406779661017,0.3333333333333333,0.921875,-1193.7824541344417,-1357.4185970453182
17,gs,mi,0.1,354.0,20.0,56.0,0.38125000000000003,0.5915254237288136,0.28571428571428575,0.921875,-1258.2331659657812,-1397.2082033839456
18,gs,x2,0.01,366.0,20.0,76.0,0.45039062499999993,0.6601694915254238,0.4117647058823529,0.921875,-1129.409051850222,-1333.681451430597
19,gs,x2,0.05,380.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
20,gs,x2,0.1,366.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1164.801765264158,-1353.7620868594008
21,iamb,mi,0.01,492.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
22,iamb,mi,0.05,492.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
23,iamb,mi,0.1,506.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
24,iamb,x2,0.01,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
25,iamb,x2,0.05,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
26,iamb,x2,0.1,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
27,inter.iamb,mi,0.01,492.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
28,inter.iamb,mi,0.05,492.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
29,inter.iamb,mi,0.1,506.0,20.0,82.0,0.47343750000000007,0.6830508474576271,0.4444444444444445,0.921875,-1084.401779933878,-1323.5768364383969
30,inter.iamb,x2,0.01,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
31,inter.iamb,x2,0.05,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
32,inter.iamb,x2,0.1,492.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
33,pc.stable,mi,0.01,277.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1164.801765264158,-1353.7620868594008
34,pc.stable,mi,0.05,300.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
35,pc.stable,mi,0.1,315.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
36,pc.stable,x2,0.01,274.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
37,pc.stable,x2,0.05,302.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
38,pc.stable,x2,0.1,307.0,20.0,69.0,0.42734374999999997,0.6372881355932203,0.37499999999999994,0.921875,-1158.3897407205059,-1337.3379616165141
