,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,2462.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
1,rsmax2,fast.iamb,mi,0.01,hc,bic,2462.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,2482.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,2482.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
4,rsmax2,fast.iamb,mi,0.05,hc,bde,2322.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
5,rsmax2,fast.iamb,mi,0.05,hc,bic,2322.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,2342.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,2342.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
8,rsmax2,fast.iamb,mi,0.1,hc,bde,2330.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
9,rsmax2,fast.iamb,mi,0.1,hc,bic,2330.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,2350.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,2350.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
12,rsmax2,fast.iamb,x2,0.01,hc,bde,2363.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
13,rsmax2,fast.iamb,x2,0.01,hc,bic,2363.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,2383.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,2383.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
16,rsmax2,fast.iamb,x2,0.05,hc,bde,2287.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
17,rsmax2,fast.iamb,x2,0.05,hc,bic,2287.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,2307.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,2307.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
20,rsmax2,fast.iamb,x2,0.1,hc,bde,2295.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
21,rsmax2,fast.iamb,x2,0.1,hc,bic,2295.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
22,rsmax2,fast.iamb,x2,0.1,tabu,bde,2315.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
23,rsmax2,fast.iamb,x2,0.1,tabu,bic,2315.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
24,rsmax2,gs,mi,0.01,hc,bde,1764.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
25,rsmax2,gs,mi,0.01,hc,bic,1764.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
26,rsmax2,gs,mi,0.01,tabu,bde,1784.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
27,rsmax2,gs,mi,0.01,tabu,bic,1784.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-550319.3707684634,-551047.0611407987
28,rsmax2,gs,mi,0.05,hc,bde,1774.0,27.0,63.0,0.6756835937500001,0.6625,0.4905660377358491,0.9736328125,-566268.1657070066,-566857.0038331617
29,rsmax2,gs,mi,0.05,hc,bic,1774.0,27.0,63.0,0.6756835937500001,0.6625,0.4905660377358491,0.9736328125,-566268.1657070066,-566857.0038331617
