,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,2315.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
1,h2pc,mi,0.01,bic,2315.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
2,h2pc,mi,0.05,bde,2422.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
3,h2pc,mi,0.05,bic,2422.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
4,h2pc,mi,0.1,bde,2593.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
5,h2pc,mi,0.1,bic,2593.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
6,h2pc,x2,0.01,bde,2075.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
7,h2pc,x2,0.01,bic,2075.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
8,h2pc,x2,0.05,bde,2168.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
9,h2pc,x2,0.05,bic,2168.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
10,h2pc,x2,0.1,bde,2293.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
11,h2pc,x2,0.1,bic,2293.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
12,mmhc,mi,0.01,bde,2387.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
13,mmhc,mi,0.01,bic,2387.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
14,mmhc,mi,0.05,bde,2483.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
15,mmhc,mi,0.05,bic,2483.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
16,mmhc,mi,0.1,bde,2555.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
17,mmhc,mi,0.1,bic,2555.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
18,mmhc,x2,0.01,bde,2387.0,31.0,73.0,0.556116365131579,0.672459349593496,0.47457627118644063,0.9697265625,-14055.269675617546,-14684.900148742365
19,mmhc,x2,0.01,bic,2375.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
20,mmhc,x2,0.05,bde,2472.0,31.0,73.0,0.556116365131579,0.672459349593496,0.47457627118644063,0.9697265625,-14055.269675617546,-14684.900148742365
21,mmhc,x2,0.05,bic,2460.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
22,mmhc,x2,0.1,bde,2574.0,31.0,73.0,0.556116365131579,0.672459349593496,0.47457627118644063,0.9697265625,-14055.269675617546,-14684.900148742365
23,mmhc,x2,0.1,bic,2562.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-14131.962199326104,-14528.568776687169
