[1 1],[1 2],[2 1],[2 2],'[1 1]','[1 2]','[2 1]','[2 2]'
S,M,L,Empty,S,M,L,
S,Empty,M,L,S,Empty,M,L
M,S,L,Empty,M,S,L,
Empty,L,M,S,Empty,L,M,
S,M,Empty,L,S,M,,L
L,M,S,Empty,L,M,,
M,Empty,S,L,M,Empty,,L
S,Empty,L,M,S,Empty,L,M
M,Empty,L,S,M,Empty,L,S
Empty,M,L,S,Empty,M,L,
Empty,S,L,M,Empty,S,L,M
M,Empty,L,S,M,Empty,L,S
M,Empty,L,S,M,Empty,L,S
L,S,M,Empty,L,S,,
M,Empty,S,L,M,Empty,,L
L,M,Empty,S,L,M,,
L,Empty,M,S,L,Empty,,S
L,Empty,M,S,L,Empty,,S
Empty,L,S,M,Empty,L,S,
M,L,Empty,S,M,L,,
M,L,Empty,S,M,L,,
L,M,Empty,S,L,M,,
Empty,L,S,M,Empty,L,S,
Empty,L,M,S,Empty,L,M,
Empty,S,L,M,Empty,S,L,M
M,S,Empty,L,M,S,,L
M,S,Empty,L,M,S,,L
Empty,L,M,S,Empty,L,M,
S,L,Empty,M,S,L,,
Empty,L,S,M,Empty,L,S,
M,L,Empty,S,M,L,,
L,Empty,M,S,L,Empty,,S
M,L,S,Empty,M,L,,
Empty,L,S,M,Empty,L,S,
L,S,Empty,M,L,S,,M
Empty,L,M,S,Empty,L,M,
Empty,M,L,S,Empty,M,L,
S,Empty,L,M,S,Empty,L,M
M,S,L,Empty,M,S,L,
M,Empty,L,S,M,Empty,L,S
Empty,S,L,M,Empty,S,L,M
S,L,Empty,M,S,L,,
S,L,M,Empty,S,L,M,
M,Empty,S,L,M,Empty,,L
M,Empty,S,L,M,Empty,,L
S,M,L,Empty,S,M,L,
L,S,Empty,M,L,S,,M
M,S,Empty,L,M,S,,L
M,L,S,Empty,M,L,,
Empty,S,M,L,Empty,S,M,L
M,S,Empty,L,M,S,,L
Empty,S,L,M,Empty,S,L,M
S,L,Empty,M,S,L,,
L,S,M,Empty,L,S,,
L,Empty,S,M,L,Empty,,M
L,Empty,S,M,L,Empty,,M
S,M,L,Empty,S,M,L,
Empty,M,L,S,Empty,M,L,
M,S,L,Empty,M,S,L,
Empty,L,M,S,Empty,L,M,
M,S,L,Empty,M,S,L,
S,M,L,Empty,S,M,L,
M,L,Empty,S,M,L,,
S,M,L,Empty,S,M,L,
S,M,L,Empty,S,M,L,
S,L,M,Empty,S,L,M,
Empty,M,L,S,Empty,M,L,
M,L,Empty,S,M,L,,
L,S,M,Empty,L,S,,
M,Empty,S,L,M,Empty,,L
Empty,S,M,L,Empty,S,M,L
S,L,M,Empty,S,L,M,
L,Empty,S,M,L,Empty,,M
S,Empty,L,M,S,Empty,L,M
Empty,M,L,S,Empty,M,L,
L,M,Empty,S,L,M,,
S,Empty,L,M,S,Empty,L,M
Empty,M,S,L,Empty,M,S,L
Empty,S,L,M,Empty,S,L,M
S,M,Empty,L,S,M,,L
M,L,S,Empty,M,L,,
Empty,L,S,M,Empty,L,S,
S,L,M,Empty,S,L,M,
Empty,L,S,M,Empty,L,S,
L,M,Empty,S,L,M,,
M,L,Empty,S,M,L,,
M,S,Empty,L,M,S,,L
Empty,M,S,L,Empty,M,S,L
S,Empty,M,L,S,Empty,M,L
S,L,Empty,M,S,L,,
S,L,M,Empty,S,L,M,
S,L,M,Empty,S,L,M,
L,S,M,Empty,L,S,,
Empty,M,L,S,Empty,M,L,
L,S,Empty,M,L,S,,M
M,L,S,Empty,M,L,,
Empty,L,M,S,Empty,L,M,
Empty,S,M,L,Empty,S,M,L
L,M,Empty,S,L,M,,
M,L,Empty,S,M,L,,
